,name,party,state,bill,result
567,Murray,D,WA,6,1.0
568,Nelson,D,FL,6,1.0
569,Paul,R,KY,6,0.0
570,Perdue,R,GA,6,0.0
571,Peters,D,MI,6,1.0
572,Portman,R,OH,6,0.0
573,Reed,D,RI,6,1.0
574,Reid,D,NV,6,0.5
575,Risch,R,ID,6,0.0
576,Roberts,R,KS,6,0.0
577,Rounds,R,SD,6,0.0
578,Rubio,R,FL,6,0.0
579,Sanders,I,VT,6,1.0
580,Sasse,R,NE,6,0.0
581,Schatz,D,HI,6,1.0
582,Schumer,D,NY,6,1.0
583,Scott,R,SC,6,0.0
584,Sessions,R,AL,6,0.0
585,Shaheen,D,NH,6,1.0
586,Shelby,R,AL,6,0.0
587,Stabenow,D,MI,6,1.0
588,Sullivan,R,AK,6,0.0
589,Tester,D,MT,6,0.0
590,Thune,R,SD,6,0.0
591,Tillis,R,NC,6,0.0
592,Toomey,R,PA,6,0.0
593,Udall,D,NM,6,1.0
594,Vitter,R,LA,6,0.0
595,Warner,D,VA,6,1.0
596,Warren,D,MA,6,1.0
597,Whitehouse,D,RI,6,1.0
598,Wicker,R,MS,6,0.0
599,Wyden,D,OR,6,1.0
600,Alexander,R,TN,7,0.0
601,Ayotte,R,NH,7,0.0
602,Baldwin,D,WI,7,0.0
603,Barrasso,R,WY,7,1.0
604,Bennet,D,CO,7,0.0
605,Blumenthal,D,CT,7,0.0
606,Blunt,R,MO,7,1.0
607,Booker,D,NJ,7,0.0
608,Boozman,R,AR,7,1.0
609,Boxer,D,CA,7,0.0
610,Brown,D,OH,7,0.0
611,Burr,R,NC,7,1.0
612,Cantwell,D,WA,7,0.0
613,Capito,R,WV,7,1.0
614,Cardin,D,MD,7,0.0
615,Carper,D,DE,7,0.0
616,Casey,D,PA,7,1.0
617,Cassidy,R,LA,7,1.0
618,Coats,R,IN,7,1.0
619,Cochran,R,MS,7,1.0
620,Collins,R,ME,7,0.0
621,Coons,D,DE,7,0.0
622,Corker,R,TN,7,1.0
623,Cornyn,R,TX,7,1.0
624,Cotton,R,AR,7,1.0
625,Crapo,R,ID,7,1.0
626,Cruz,R,TX,7,1.0
627,Daines,R,MT,7,1.0
628,Donnelly,D,IN,7,0.0
629,Durbin,D,IL,7,0.0
630,Enzi,R,WY,7,1.0
631,Ernst,R,IA,7,1.0
632,Feinstein,D,CA,7,0.0
633,Fischer,R,NE,7,1.0
634,Flake,R,AZ,7,1.0
635,Franken,D,MN,7,0.0
636,Gardner,R,CO,7,1.0
637,Gillibrand,D,NY,7,0.0
638,Graham,R,SC,7,1.0
639,Grassley,R,IA,7,1.0
640,Hatch,R,UT,7,1.0
641,Heinrich,D,NM,7,0.0
642,Heitkamp,D,ND,7,1.0
643,Heller,R,NV,7,1.0
644,Hirono,D,HI,7,0.0
645,Hoeven,R,ND,7,1.0
646,Inhofe,R,OK,7,1.0
647,Isakson,R,GA,7,1.0
648,Johnson,R,WI,7,1.0
649,Kaine,D,VA,7,0.0
650,King,I,ME,7,0.0
651,Kirk,R,IL,7,1.0
652,Klobuchar,D,MN,7,0.0
653,Lankford,R,OK,7,1.0
654,Leahy,D,VT,7,0.0
655,Lee,R,UT,7,1.0
656,Manchin,D,WV,7,1.0
657,Markey,D,MA,7,0.0
658,McCain,R,AZ,7,1.0
659,McCaskill,D,MO,7,0.0
660,McConnell,R,KY,7,1.0
661,Menendez,D,NJ,7,0.0
662,Merkley,D,OR,7,0.0
663,Mikulski,D,MD,7,0.0
664,Moran,R,KS,7,1.0
665,Murkowski,R,AK,7,1.0
666,Murphy,D,CT,7,0.0
667,Murray,D,WA,7,0.0
668,Nelson,D,FL,7,0.0
669,Paul,R,KY,7,1.0
670,Perdue,R,GA,7,1.0
